Name,Train Accuracy,Train F1 Negative,Train F1 Positive,Train MCC Score,Train MCC Std,Validation Accuracy,Validation F1 Negative,Validation F1 Positive,Validation MCC Score,Validation MCC Std,Test Accuracy,Test F1 Negative,Test F1 Positive,Test MCC Score,Test MCC Std,Ratio,Random
svcrbf,99.96965098634294,99.98309382924768,99.85185185185183,99.83562219316912,0.3675599500661939,96.11677753141169,97.8679908534923,77.76621621621621,77.43036053466547,10.096920196704868,96.81159420289856,98.23399229486516,83.6007326007326,81.97468619170348,2.2090204086356766,,0
svclin,99.87869591207983,99.93243240833309,99.4073582649434,99.34381423180533,0.6820598425454565,94.90465631929048,97.16701161105507,74.19924812030075,72.34249198638761,10.89674930734199,94.78260869565216,97.05359959895893,77.21071987789313,74.92441306245601,4.943730929427171,,0
logistic,100.0,100.0,100.0,100.0,0.0,95.14708056171472,97.30214499487856,75.38063063063063,73.74188534880385,10.924785222171066,94.68599033816426,96.98866069916048,77.39956578376031,75.36468938534759,2.137349336006346,,0
random,99.66625281648042,99.81445983734284,98.34127380867366,98.15641865568588,0.3700854873042943,95.75314116777534,97.6917634061122,73.27000885824415,73.59645045751502,15.941097531782512,95.07246376811594,97.3033954928232,71.45259545259545,70.13190260303254,2.82771796824985,,0
knn,100.0,100.0,100.0,100.0,0.0,96.23725055432372,97.92513233560425,79.49003165910841,78.48840484528873,9.310403102023088,94.20289855072464,96.75289798372316,72.96186006527421,69.89699517970469,2.4659686495999416,,0
svcrbf,100.0,100.0,100.0,100.0,0.0,87.98573975044565,88.89860996312609,86.71985708025753,77.92573219650635,10.674125966521306,76.19047619047619,79.67006802721087,71.25116713352008,55.81639678563023,3.6705418362804334,1.0,1
svclin,100.0,100.0,100.0,100.0,0.0,88.57397504456328,88.47388632872504,88.5972985479627,78.08301318994697,9.536021508144222,80.47619047619047,81.11225208899627,79.7702135263111,61.15547178923873,3.8769784027417,1.0,1
logistic,100.0,100.0,100.0,100.0,0.0,90.37433155080214,90.2215945029038,90.51591545709194,81.07317668644853,9.934121891150062,80.95238095238095,81.4799154334038,80.39024390243904,62.017541344879234,4.76825885670756,1.0,1
random,100.0,100.0,100.0,100.0,0.0,91.58645276292336,91.78196713680586,91.35672392124005,83.39838016901402,10.67580613597225,77.14285714285714,79.29694727104531,74.48079658605974,55.548638721378026,2.9998781089513384,1.0,1
knn,100.0,100.0,100.0,100.0,0.0,82.4777183600713,80.39682539682539,83.98875634169752,67.3257593544188,11.467534626574924,79.04761904761905,78.66310160427807,79.0,59.1670637812353,4.374679168386005,1.0,1
svcrbf,100.0,100.0,100.0,100.0,0.0,89.97551020408164,92.80139159406272,83.32811390530752,77.2537743563166,7.493359117490433,90.15873015873017,92.9348496998858,83.76113360323886,77.72496748856385,1.8101913907355829,2.0,1
svclin,100.0,100.0,100.0,100.0,0.0,89.16734693877552,91.79302291636256,83.92543859649122,76.14425111341657,5.486693584064024,86.98412698412697,90.11740231404542,80.90805469818517,71.17805423897777,2.974754787894315,2.0,1
logistic,100.0,100.0,100.0,100.0,0.0,89.57551020408164,92.08407244851192,84.51390108567674,77.19045019205075,7.693421532815487,87.61904761904762,90.58920329812796,81.89191976486362,72.59484232864475,4.283666070983975,2.0,1
random,99.89949748743716,99.9250936329588,99.8473282442748,99.77370849678849,0.5060031839115363,91.17551020408165,93.70766688974932,85.113395729636,80.06305793194167,8.175884948027429,89.84126984126985,92.62727515734731,83.66261808367071,76.79503679499575,2.0632399224836653,2.0,1
knn,100.0,100.0,100.0,100.0,0.0,88.35918367346939,91.11854329245634,82.95051649890361,74.55719596688884,7.057833119437066,89.20634920634922,91.85886402753871,83.98671096345515,75.86663531308582,4.466930347154447,2.0,1
svcrbf,100.0,100.0,100.0,100.0,0.0,92.47851650836724,95.178253590388,82.68519870037898,79.75404839230602,6.703116046110586,92.14285714285714,94.8760582029214,83.14012047003061,78.52357970846228,4.824772779564803,3.0,1
svclin,100.0,100.0,100.0,100.0,0.0,90.07236544549976,93.33066591812135,80.3392315157021,74.36241928069539,7.185813007733881,90.47619047619048,93.50059496329432,82.17021276595744,76.02322433488465,3.333287632054423,3.0,1
logistic,100.0,100.0,100.0,100.0,0.0,90.97693351424697,93.94679427102108,82.0731044260456,76.61691582425811,7.2115709735782145,89.76190476190476,93.02627336162308,80.74308300395258,74.05353750371356,2.1863340524061545,3.0,1
random,99.9245283018868,99.94962216624684,99.84962406015038,99.80024750464072,0.4466601582985616,91.8679330619629,94.80596881862763,81.11609686609685,78.00276629981565,5.72828380498152,89.04761904761904,92.85576923076924,76.52631578947368,69.78487304695886,3.6270159528896193,3.0,1
knn,100.0,100.0,100.0,100.0,0.0,91.5649027589326,94.398079432191,82.68149643149643,77.71909074530667,8.490506636280793,90.71428571428572,93.68491551459292,82.39353669586228,76.36446337543953,6.099371266281703,3.0,1
svcrbf,100.0,100.0,100.0,100.0,0.0,93.98450946643716,96.30042665463334,83.86969648816145,80.56825165583552,9.87809946539344,91.15384615384616,94.60865756860927,75.34206271048376,71.03357611939423,4.01495663388048,4.0,1
svclin,99.93975903614458,99.9623352165725,99.84962406015038,99.81283764426234,0.4185077502583883,92.79116465863451,95.46509096351932,82.33386327503975,78.00552184541091,4.3073299652254216,85.57692307692307,90.63591893780573,68.58917480035493,60.19655430917361,4.546220994638249,4.0,1
logistic,100.0,100.0,100.0,100.0,0.0,92.5473321858864,95.31657129150918,81.62199339395882,77.25760097488606,3.0232570111003887,88.26923076923076,92.47701557111004,73.35221783047871,66.31425835402744,3.085166018836371,4.0,1
random,99.8198198198198,99.88714724664769,99.55334438916528,99.44134940128008,0.8345604813868289,93.26161790017213,95.9373023320474,80.16167822619435,77.5341934296569,12.113348998019148,87.88461538461539,92.7671592775041,62.70944741532976,58.43782663679565,3.266123947416169,4.0,1
