,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,rank,test_means,test_stds,train_means,train_stds
67,1.0,0.0011288378916846883,0.8858667904100823,200,5,0.9,0.625,159,0.6965850051919348,0.11706713429310892,1.0,0.0
68,0.625,0.012742749857031334,0.8858667904100823,500,3,1.0,0.625,196,0.5944118856872689,0.07522404427555908,0.9983344100743144,0.0033311798513711906
69,0.5,0.26366508987303583,0.4832930238571752,800,5,0.5,0.875,104,0.7510419652193054,0.028127834946193128,1.0,0.0
70,0.75,2.9763514416313193,0.00018329807108324357,100,6,0.1,0.5,6,0.823793629318315,0.0379776410601215,1.0,0.0
71,0.5,0.0006158482110660267,2.9763514416313193,200,7,0.5,0.5,133,0.729955383136579,0.05930678188878154,0.995081920386362,0.006525096763100723
72,0.875,10.0,5.455594781168514,400,3,0.30000000000000004,0.875,80,0.7646355563861424,0.07389310981678535,0.9884768736993264,0.003958588895484737
73,1.0,0.00379269019073225,0.07847599703514607,300,7,0.4,0.875,77,0.7660873169128801,0.08661968009358469,1.0,0.0
74,1.0,0.0069519279617756054,0.07847599703514607,200,6,0.30000000000000004,0.875,68,0.7715084469926966,0.08594702000350005,1.0,0.0
75,0.5,0.8858667904100823,0.0006158482110660267,400,7,0.1,0.5,9,0.8147885834421714,0.049158979423912674,1.0,0.0
76,0.625,0.0069519279617756054,10.0,100,4,0.4,1.0,150,0.7059153946587373,0.03433838207150324,0.9742856522354308,0.011400083029319174
77,1.0,0.00206913808111479,0.00018329807108324357,900,3,0.2,0.875,43,0.7908508973339676,0.07154898373503689,1.0,0.0
78,1.0,0.0006158482110660267,0.00018329807108324357,200,6,0.5,0.5,75,0.7665151161266845,0.029366481337912993,1.0,0.0
79,0.75,0.0069519279617756054,0.0003359818286283781,300,6,0.6,0.75,153,0.7035378580559369,0.07330330816264816,1.0,0.0
80,0.75,0.14384498882876628,0.8858667904100823,200,3,0.6,0.5,113,0.7438813906090014,0.12475361291130482,1.0,0.0
81,1.0,0.0011288378916846883,10.0,500,4,1.0,0.75,174,0.6815879278341818,0.05530213218861415,0.9544544243519969,0.010854872980956371
82,0.875,0.07847599703514607,0.00018329807108324357,100,6,0.5,1.0,62,0.7729603168782898,0.055374009891552146,1.0,0.0
83,0.75,0.0069519279617756054,5.455594781168514,900,6,0.6,0.5,151,0.7057702503505043,0.09217379700870144,0.993381547003483,0.003309590603919338
84,0.625,0.012742749857031334,0.8858667904100823,300,5,0.1,0.75,7,0.8181780162803551,0.06282425294752783,1.0,0.0
85,0.5,0.0069519279617756054,0.07847599703514607,800,7,1.0,0.875,198,0.46663595402950575,0.13054307290506512,0.5475029510019624,0.1365467699178823
86,0.5,0.023357214690901212,0.023357214690901212,700,4,0.5,0.5,124,0.7371730853628728,0.057536785477039075,1.0,0.0
87,0.75,0.07847599703514607,0.4832930238571752,400,3,0.7000000000000001,0.5,122,0.7381509877023951,0.06833289594139594,1.0,0.0
88,1.0,0.00018329807108324357,0.26366508987303583,800,3,0.30000000000000004,0.5,63,0.7724906904775194,0.07287029703364901,1.0,0.0
89,1.0,0.07847599703514607,1.623776739188721,700,7,0.2,1.0,51,0.7840935500138629,0.1055572470794407,1.0,0.0
90,0.75,0.023357214690901212,0.04281332398719392,200,7,0.9,0.875,134,0.729454721267676,0.06475016952275692,1.0,0.0
91,0.5,0.04281332398719392,0.00018329807108324357,600,7,0.30000000000000004,0.875,41,0.7921186916288414,0.07575060366486568,1.0,0.0
92,0.875,0.00018329807108324357,0.0003359818286283781,700,7,0.5,1.0,93,0.7563129570047071,0.07861680588978642,1.0,0.0
93,0.5,0.14384498882876628,1.623776739188721,700,3,0.7000000000000001,0.5,188,0.6494689149444659,0.09091865392916815,0.9983344100743144,0.0033311798513711906
94,0.875,0.012742749857031334,0.04281332398719392,200,7,1.0,0.875,186,0.6600802958377064,0.16105060865938345,0.9195103272024581,0.16097934559508392
95,0.875,0.0001,0.023357214690901212,900,5,0.4,0.625,100,0.7526325748492044,0.03396586491899604,1.0,0.0
96,0.625,0.012742749857031334,0.0069519279617756054,100,7,0.8,0.5,182,0.6698257673125994,0.08988049937064467,1.0,0.0
97,0.625,10.0,0.07847599703514607,600,7,1.0,0.5,141,0.7231935429029397,0.0648747466140304,1.0,0.0
98,0.75,0.07847599703514607,0.00379269019073225,900,5,0.4,0.875,20,0.8029562701292379,0.05775225276806505,1.0,0.0
99,1.0,0.012742749857031334,0.0006158482110660267,900,3,0.5,0.875,127,0.7346081303307639,0.07301666031296894,1.0,0.0
100,0.875,0.00379269019073225,0.14384498882876628,700,4,0.7000000000000001,1.0,156,0.6996574873748995,0.07261417743134789,1.0,0.0
101,0.875,0.012742749857031334,0.04281332398719392,700,7,0.7000000000000001,0.875,79,0.7649230794525653,0.08021273566702783,1.0,0.0
102,0.625,0.0003359818286283781,5.455594781168514,900,6,0.7000000000000001,1.0,152,0.7051124790275888,0.05359121026520554,0.9917648645456086,0.0073693660660028
103,0.75,0.0006158482110660267,0.8858667904100823,400,7,0.4,0.875,22,0.8017906189686878,0.0622304730937227,1.0,0.0
104,0.5,0.04281332398719392,0.4832930238571752,400,3,0.7000000000000001,0.875,149,0.715382224441694,0.057456292554735375,1.0,0.0
105,0.625,0.26366508987303583,1.623776739188721,700,5,1.0,1.0,187,0.6539387988019214,0.11405741815198524,1.0,0.0
106,0.875,0.0011288378916846883,0.00018329807108324357,600,6,0.4,1.0,60,0.7780065182910851,0.09739452171325122,1.0,0.0
107,1.0,0.0001,0.26366508987303583,600,5,0.2,0.5,23,0.8015676222124091,0.07025844709247248,1.0,0.0
108,0.875,0.00206913808111479,0.0006158482110660267,300,3,0.2,0.5,50,0.7844339546876523,0.056634874043674704,1.0,0.0
109,0.625,0.07847599703514607,10.0,500,6,0.9,0.625,155,0.7024893605771922,0.09045577186948088,0.9695590284883722,0.011654759858386744
110,0.625,0.07847599703514607,10.0,300,6,0.9,0.5,175,0.6814880515646277,0.08127729291778932,0.9726713454862767,0.010663573233518088
111,0.5,0.04281332398719392,2.9763514416313193,900,5,1.0,0.5,191,0.6257482969445395,0.06378856882926827,0.9917507405349909,0.005143540720002061
112,0.75,0.4832930238571752,0.00018329807108324357,600,4,0.8,1.0,169,0.6892933950393141,0.12532200668338314,1.0,0.0
113,1.0,0.14384498882876628,5.455594781168514,700,5,0.1,0.625,110,0.7488356837461042,0.08214875785610852,0.9934381423180533,0.006100528690617759
114,0.75,0.00379269019073225,0.04281332398719392,300,5,0.2,1.0,3,0.8334005751447503,0.04831739176682168,1.0,0.0
115,1.0,2.9763514416313193,1.623776739188721,600,5,0.1,1.0,16,0.8065148879241578,0.07937003765713053,1.0,0.0
116,0.875,0.023357214690901212,0.0001,300,3,0.6,0.75,158,0.6971830991748039,0.07141889255046456,1.0,0.0
117,1.0,10.0,0.00018329807108324357,100,6,1.0,1.0,52,0.7840336716066261,0.06643303535418592,1.0,0.0
118,1.0,1.623776739188721,0.4832930238571752,400,4,1.0,0.5,64,0.7722903599287492,0.04838865841458444,1.0,0.0
119,0.875,5.455594781168514,0.00379269019073225,800,3,0.1,1.0,13,0.8108378767564821,0.05846942530319067,1.0,0.0
120,0.5,0.0001,5.455594781168514,700,7,1.0,0.625,173,0.6824907144624668,0.10172989828843942,0.9789056040101126,0.008069587892302056
121,1.0,0.0003359818286283781,0.14384498882876628,800,6,0.7000000000000001,0.5,114,0.7435912646375752,0.09812282790455483,1.0,0.0
122,0.625,0.07847599703514607,0.04281332398719392,700,7,0.7000000000000001,0.5,185,0.662694908337614,0.08575149076456126,1.0,0.0
